dur,proto,dir,state,stos,dtos,tot_pkts,tot_bytes,src_bytes,label
2.983247,10,0,148,0.0,0.0,3,184,122,4
2.906029,10,0,148,0.0,0.0,3,184,122,4
3.030517,10,0,148,0.0,0.0,3,184,122,4
6.016227,10,0,148,0.0,0.0,3,184,122,4
6.124715,10,0,148,0.0,0.0,3,184,122,4
6.015555,10,0,148,0.0,0.0,3,184,122,4
1.077735,10,0,153,0.0,0.0,4,244,124,3
1.804486,10,0,143,0.0,0.0,7,760,520,4
4.178993,10,0,153,0.0,0.0,4,252,132,2
45.003994,10,0,155,0.0,0.0,8,574,296,4
20.998552,10,0,155,0.0,0.0,5,352,74,4
2.977248,10,0,153,0.0,0.0,4,252,132,2
44.9983,10,0,155,0.0,0.0,8,574,296,4
45.00044,10,0,155,0.0,0.0,8,574,296,4
20.99278,10,0,155,0.0,0.0,5,352,74,4
20.998692,10,0,155,0.0,0.0,5,352,74,4
0.0,10,1,97,0.0,0.0,1,60,60,1
2.953717,10,0,148,0.0,0.0,3,184,122,4
2.968016,10,0,148,0.0,0.0,3,184,122,4
2.871856,10,0,148,0.0,0.0,3,184,122,4
6.013866,10,0,148,0.0,0.0,3,184,122,4
6.123614,10,0,148,0.0,0.0,3,184,122,4
6.016294,10,0,148,0.0,0.0,3,184,122,4
1.202696,10,0,153,0.0,0.0,4,244,124,3
186.011,10,0,65,0.0,0.0,13,1713,1054,4
1.24176,10,0,153,0.0,0.0,4,244,124,3
2.845453,10,0,153,0.0,0.0,4,252,132,2
1.361064,10,0,153,0.0,0.0,4,252,132,2
57.007687,10,0,152,0.0,0.0,6,450,390,2
3.621729,10,0,153,0.0,0.0,4,252,132,2
2.994968,10,0,148,0.0,0.0,3,184,122,4
3.917086,10,0,153,0.0,0.0,4,252,132,2
83.06214,10,4,105,0.0,0.0,43065,40974671,1033777,0
497.72046,10,4,107,0.0,0.0,326962,132430976,7076046,0
971.28815,10,4,88,0.0,0.0,7912,7356876,7153650,0
899.9964,10,4,91,0.0,0.0,48,5728,3008,0
38.753445,10,1,104,0.0,0.0008660852944690001,7,456,456,0
662.9944,10,4,101,0.0,0.0,6137,5700818,158064,0
485.88577,10,4,34,0.0,0.0,4153,3858512,106820,0
971.28406,11,3,4,0.0,0.0,118864,29360448,22872870,2
969.9785,10,4,94,0.0,0.0,53,4279,1791,44
960.12866,10,4,88,0.0,0.0,38,2280,1140,44
960.12665,10,4,91,0.0,0.0,129,22731,7130,44
931.9705,10,4,91,0.0,0.0,147,74900,13404,55
959.09546,10,4,91,0.0,0.0,191,61146,30372,55
40.13709,10,4,19,0.0,0.0,4727,4558603,4452163,0
60.91802,10,4,12,0.0,0.0,8,528,264,19
955.1689,10,4,91,0.0,0.0,487,55798,35900,0
938.0433,11,3,4,0.0,0.0,43,8328,4371,6
905.968,10,4,91,0.0,0.0,42,2836,1630,0
935.78955,10,4,91,0.0,0.0,41644,10902960,3019813,0
971.22833,10,4,91,0.0,0.0,12677,5272348,4584731,2
971.17395,10,4,88,0.0,0.0,25374,17175122,16338440,28
0.0,11,0,74,0.0,0.0008660852944690001,1,329,329,1
0.05345,11,3,4,0.0,0.0,2,464,145,2
971.2443,11,3,4,0.0,0.0,38318,4097255,4091115,6
971.2442,11,3,4,0.0,0.0,37250,3952847,3949823,6
971.24414,10,4,88,0.0,0.0,17424,16484446,16144876,2
87.78848,10,4,94,0.0,0.0,84,23430,14690,0
912.8802,10,4,91,0.0,0.0,105,9307,4918,0
891.5803,10,4,91,0.0,0.0,56,4765,2646,0
941.0821,10,4,91,0.0,0.0,308,28729,13290,0
55.53381,10,4,20,0.0,0.0,91,33160,6844,0
0.0,11,0,74,0.0,0.0008660852944690001,1,60,60,5
760.5374,10,4,91,0.0,0.0,334,43790,28686,0
0.000811,11,3,4,0.0,0.0,2,539,75,6
968.0932,10,4,91,0.0,0.0,514,35432,17282,0
7.5e-05,10,4,11,0.0,0.0,2,132,66,0
0.001992,11,3,4,0.0,0.0,2,236,174,6
443.77335,10,4,93,0.0,0.0,15227,15055750,14750830,0
13.885441,10,4,107,0.0,0.0,26,3144,1788,2
108.821495,11,3,4,0.0,0.0,3,294,232,6
0.20963,11,3,4,0.0,0.0,2,474,145,2
0.000937,11,3,4,0.0,0.0,2,134,73,6
947.8768,10,4,34,0.0,0.0,7342,6807062,189308,0
0.00079,10,4,15,0.0,0.0,2,120,60,0
0.015613,10,4,15,0.0,0.0,2,120,60,0
956.11285,10,4,91,0.0,0.0,85,7562,4253,0
0.269929,11,3,4,0.0,0.0,2,538,478,6
0.154834,11,3,4,0.0,0.0,2,538,478,6
0.000885,11,3,4,0.0,0.0,2,135,74,6
5.736647,10,4,100,0.0,0.0,15,12253,360,0
0.000127,11,0,74,0.0,0.0008660852944690001,1,145,145,1
0.0,1,0,170,0.0,0.0008660852944690001,1,173,173,1
971.02844,10,4,3,0.0,0.0,8029,7464478,206362,0
0.000897,11,3,4,0.0,0.0,2,137,76,6
960.14355,10,4,91,0.0,0.0,70,7050,2706,2
960.14453,10,4,88,0.0,0.0,42,2520,1260,2
960.1495,10,4,91,0.0,0.0,118,28670,5830,2
932.8169,10,4,91,0.0,0.0,199,19639,9660,0
354.28143,11,3,4,0.0,0.0,16,1952,1456,6
956.1531,10,4,91,0.0,0.0,277,189695,11338,0
0.0,1,0,164,0.0,0.0008660852944690001,1,173,173,1
0.025583,10,4,20,0.0,0.0,6,481,190,0
0.000286,11,3,4,0.0,0.0,2,240,77,56
0.020265,11,3,4,0.0,0.0,2,342,77,56
0.000283,11,3,4,0.0,0.0,2,214,81,56
0.000319,11,3,4,0.0,0.0,2,214,81,56
253.9247,10,4,20,0.0,0.0,33,2063,1329,0
798.4496,10,4,34,0.0,0.0,6515,6040872,168006,0
252.8446,10,4,20,0.0,0.0,40,2784,1432,2
0.000751,11,3,4,0.0,0.0,2,133,72,6
0.000118,10,4,11,0.0,0.0,2,132,66,50
0.047921,11,3,4,0.0,0.0,2,138,77,6
0.000237,11,3,4,0.0,0.0,2,214,81,56
0.000158,11,3,4,0.0,0.0,2,214,81,56
940.1354,11,3,4,0.0,0.0,60,5400,2700,7
99.15443,10,4,20,0.0,0.0,201,78895,50254,0
0.000192,11,3,4,0.0,0.0,2,214,81,56
162.03719,10,4,20,0.0,0.0,10,1750,1510,0
56.48884,10,0,52,0.0,0.0,20,4631,3344,4
0.000327,11,3,4,0.0,0.0,2,214,81,56
0.000254,11,3,4,0.0,0.0,2,214,81,56
0.000216,11,3,4,0.0,0.0,2,214,81,56
0.000271,11,3,4,0.0,0.0,2,214,81,56
0.000157,11,3,4,0.0,0.0,2,214,81,56
0.000269,11,3,4,0.0,0.0,2,214,81,56
0.000792,11,3,4,0.0,0.0,2,602,72,6
95.317825,11,3,4,0.0,0.0,12,774,390,6
970.7208,10,4,3,0.0,0.0,8163,7597970,209650,0
873.7655,10,4,91,0.0,0.0,153,12720,5906,0
0.000927,11,3,4,0.0,0.0,2,548,77,6
260.09796,11,3,4,0.0,0.0,28,1764,882,2
260.04413,11,3,4,0.0,0.0,28,1792,896,2
970.8974,10,4,3,0.0,0.0,7878,7326078,202708,0
76.63526,10,4,34,0.0,0.0,577,541332,14400,0
112.775536,10,4,19,0.0,0.0,5,916,718,0
1.465707,10,0,153,0.0,0.0,6,374,194,3
970.3251,11,3,4,0.0,0.0,43,6335,3156,6
911.2377,10,4,91,0.0,0.0,76,7787,3311,0
0.068914,11,3,4,0.0,0.0,2,538,478,6
0.060627,11,3,4,0.0,0.0,2,538,478,6
613.0893,11,3,4,0.0,0.0,4,456,332,6
65.345,11,3,4,0.0,0.0,6,634,448,6
897.9984,10,4,91,0.0,0.0,202,16860,10082,0
0.085441,11,0,74,0.0,0.0008660852944690001,1,145,145,1
0.0,11,0,74,0.0,0.0008660852944690001,1,145,145,1
0.168798,11,3,4,0.0,0.0,2,474,145,2
0.137873,11,3,4,0.0,0.0,2,474,145,2
970.68445,10,4,91,0.0,0.0,6323,589094,379796,0
899.912,0,5,4,0.01036421617992615,0.0008660852944690001,6,360,180,0
0.001798,1,2,102,0.01036421617992615,0.0,2,148,0,0
962.9448,1,0,102,0.0,0.0008660852944690001,31,2170,2170,0
0.000666,11,3,4,0.0,0.0,2,137,77,6
14.457846,11,3,4,0.0,0.0,6,1165,984,6
670.6473,10,4,90,0.0,0.0,32,2679,725,0
501.50778,11,3,4,0.0,0.0,6,819,594,6
66.357506,11,3,4,0.0,0.0,909,881114,873080,6
970.95593,11,3,4,0.0,0.0,2927,2844620,2819270,6
967.63135,10,4,91,0.0,0.0,316,32632,18628,0
0.00066,11,3,4,0.0,0.0,2,251,189,6
280.0728,10,4,34,0.0,0.0,2450,2275022,63008,0
0.002279,11,3,4,0.0,0.0,2,524,464,6
0.190238,11,3,4,0.0,0.0,2,538,478,6
0.072127,11,3,4,0.0,0.0,2,538,478,6
0.0,1,0,170,0.0,0.0008660852944690001,1,70,70,1
362.78848,10,4,20,0.0,0.0,66,32283,20077,2
160.23334,10,4,13,0.0,0.0,1389,1231017,32520,0
970.3238,10,4,91,0.0,0.0,2910,270654,193068,0
1.435567,10,0,106,0.0,0.0,11,1079,510,4
967.63544,11,3,4,0.0,0.0,279,19022,9467,6
20.81232,11,0,74,0.0,0.0008660852944690001,3,180,180,5
203.54099,10,4,12,0.0,0.0,14,924,462,8
203.54126,10,4,12,0.0,0.0,14,924,462,8
966.43634,0,5,74,0.01036421617992615,0.0008660852944690001,177,10620,10620,0
29.939585,11,3,4,0.0,0.0,4,268,146,6
0.061366,11,3,4,0.0,0.0,2,538,478,6
0.053404,11,3,4,0.0,0.0,2,538,478,6
0.00095,11,3,4,0.0,0.0,2,134,74,6
0.0,11,0,74,0.0,0.0008660852944690001,1,140,140,5
964.173,11,3,4,0.0,0.0,320,36023,19135,2
2.732939,11,3,4,0.0,0.0,4,732,327,6
959.4386,10,4,91,0.0,0.0,87,13452,9676,0
200.01578,10,4,38,0.0,0.0,66,28568,15222,0
123.09355,10,0,54,0.0,0.0,91,6329,2988,4
970.64624,10,4,2,0.0,0.0,7780,7224662,199702,0
962.3774,10,4,91,0.0,0.0,109,14147,10761,0
0.639233,11,3,4,0.0,0.0,2,474,145,2
0.000953,11,3,4,0.0,0.0,2,317,64,6
8e-06,10,1,28,0.0,0.0008660852944690001,2,120,120,1
0.003416,11,3,4,0.0,0.0,2,313,64,6
940.7268,10,4,91,0.0,0.0,179,21780,5499,0
954.77576,11,3,4,0.0,0.0,20,1800,900,7
615.18146,11,3,4,0.0,0.0,4,494,346,6
0.000811,11,3,4,0.0,0.0,2,312,64,6
13.558499,10,4,107,0.0,0.0,29,3588,2006,2
878.4909,11,3,4,0.0,0.0,14,1598,1165,6
0.001455,10,4,11,0.0,0.0,4,264,198,0
0.109103,11,3,4,0.0,0.0,4,261,141,6
6.768898,11,3,4,0.0,0.0,4,1494,1434,6
0.054105,11,3,4,0.0,0.0,2,538,478,6
102.23511,10,4,20,0.0,0.0,22,2162,1484,0
310.08194,10,4,38,0.0,0.0,250,33792,16088,0
840.26056,9,3,4,0.0,0.0,13,1148,635,6
481.1222,10,4,29,0.0,0.0,4117,3821264,105848,0
937.50977,11,3,4,0.0,0.0,18,4398,3695,6
938.8064,11,3,4,0.0,0.0,6,755,536,6
970.65247,10,4,3,0.0,0.0,7046,6540988,180674,0
958.36066,10,4,91,0.0,0.0,126,12972,5039,0
919.506,10,4,91,0.0,0.0,43,2896,1206,0
946.9523,10,4,91,0.0,0.0,293,19550,9556,0
0.000713,11,3,4,0.0,0.0,2,310,191,6
967.70435,11,0,74,0.0,0.0008660852944690001,294,90160,90160,5
0.195055,11,3,4,0.0,0.0,4,708,587,6
416.77972,11,3,4,0.0,0.0,8,1124,856,6
0.315825,11,3,4,0.0,0.0,4,708,587,6
943.24915,10,4,91,0.0,0.0,109,9858,3583,0
0.118595,11,3,4,0.0,0.0,2,538,478,6
0.355057,11,3,4,0.0,0.0,2,538,478,6
920.396,10,4,91,0.0,0.0,46,3937,2258,0
808.87213,11,3,4,0.0,0.0,4,700,580,6
0.148713,11,3,4,0.0,0.0,2,565,505,6
718.4888,11,3,4,0.0,0.0,4,703,583,6
333.19116,11,3,4,0.0,0.0,6,1673,657,6
0.034269,11,3,4,0.0,0.0,2,280,86,56
0.353832,11,3,4,0.0,0.0,2,565,505,6
0.129469,11,3,4,0.0,0.0,2,565,505,6
750.0004,11,3,4,0.0,0.0,8,720,360,7
960.21387,10,4,91,0.0,0.0,67,8567,6757,0
970.52466,10,4,88,0.0,0.0,7964,7303314,7094604,0
0.000413,11,3,4,0.0,0.0,2,423,86,56
28.858328,10,0,140,0.0,0.0,41,19337,9519,4
947.9453,11,3,4,0.0,0.0,16,2091,1053,6
6.160577,11,0,74,0.0,0.0008660852944690001,3,1434,1434,5
0.064105,11,3,4,0.0,0.0,2,538,478,6
0.000862,11,3,4,0.0,0.0,2,137,77,6
0.000243,11,3,4,0.0,0.0,2,239,79,56
0.309996,10,0,52,0.0,0.0,37,30686,918,4
0.000665,11,3,4,0.0,0.0,2,243,181,6
602.52576,11,3,4,0.0,0.0,4,486,362,6
0.018407,10,0,173,0.01036421617992615,0.0,8,592,0,4
