dur,proto,dir,state,stos,dtos,tot_pkts,tot_bytes,src_bytes,label
2.925519,9,0,120,0.0,0.0,3,182,122,3
1.0463,9,0,123,0.0,0.0,4,244,124,3
2.89805,9,0,120,0.0,0.0,3,182,122,3
8.979935,9,0,108,0.0,0.0,7,508,208,4
5.832105,9,0,108,0.0,0.0,8,538,294,4
6.322086,9,0,108,0.0,0.0,6,400,216,4
2.991712,9,0,121,0.0,0.0,3,184,122,4
2.976227,9,0,121,0.0,0.0,3,184,122,4
2.962625,9,0,121,0.0,0.0,3,184,122,4
6.033995,9,0,121,0.0,0.0,3,184,122,4
6.036695,9,0,121,0.0,0.0,3,184,122,4
6.036649,9,0,121,0.0,0.0,3,184,122,4
2.634093,9,0,121,0.0,0.0,3,184,122,4
4.250553,9,0,121,0.0,0.0,3,184,122,4
5.869736,9,0,121,0.0,0.0,3,184,122,4
1.077654,9,0,123,0.0,0.0,4,244,124,3
8.530581,9,1,63,0.0,0.0015527752675991804,2,156,156,3
11.853334,9,0,121,0.0,0.0,5,368,134,4
11.25099,9,0,121,0.0,0.0,5,368,134,4
10.249765,9,0,121,0.0,0.0,5,368,134,4
12.675066,9,0,121,0.0,0.0,5,368,134,4
13.279739,9,0,121,0.0,0.0,5,368,134,4
0.185453,9,0,121,0.0,0.0,3,192,126,4
0.972232,9,0,120,0.0,0.0,3,204,138,2
2.981614,9,0,121,0.0,0.0,3,184,122,4
2.99313,9,0,121,0.0,0.0,3,184,122,4
2.887877,9,0,121,0.0,0.0,3,184,122,4
5.995213,9,0,121,0.0,0.0,3,184,122,4
185.39789,9,0,37,0.0,0.0,7,478,272,2
6.002574,9,0,121,0.0,0.0,3,184,122,4
6.019856,9,0,121,0.0,0.0,3,184,122,4
0.984049,9,0,123,0.0,0.0,4,244,124,3
2.967141,9,0,121,0.0,0.0,3,192,126,4
2.959524,9,0,121,0.0,0.0,3,192,126,4
2.940995,9,0,121,0.0,0.0,3,192,126,4
5.935354,9,0,121,0.0,0.0,3,192,126,4
5.920241,9,0,121,0.0,0.0,3,192,126,4
6.04541,9,0,121,0.0,0.0,3,192,126,4
0.151976,9,0,121,0.0,0.0,3,182,122,4
0.151221,9,0,121,0.0,0.0,3,182,122,4
0.154421,9,0,121,0.0,0.0,3,182,122,4
0.15085,9,0,121,0.0,0.0,3,182,122,4
0.151223,9,0,121,0.0,0.0,3,182,122,4
0.906472,9,0,120,0.0,0.0,3,204,138,2
1277.4651,10,3,5,0.0,0.0,1606,1508937,1245441,2
1200.9437,10,3,5,0.0,0.0,1240,992275,425194,2
1276.7506,9,4,72,0.0,0.0,112,12484,8482,0
1190.0952,10,3,5,0.0,0.0,1841,1692037,1429143,2
1257.6211,10,3,5,0.0,0.0,1890,1782878,1324527,2
1057.2046,10,3,5,0.0,0.0,2444,2278436,866582,2
1277.1687,9,4,3,0.0,0.0,89004,88134500,2230140,0
1268.1693,10,3,5,0.0,0.0,2496,2238605,1515400,2
615.22943,10,3,5,0.0,0.0,11808,1520182,900093,2
1240.9055,10,3,5,0.0,0.0,2016,1876000,1383405,2
1270.1113,9,4,72,0.0,0.0,853,209218,94311,0
1266.1187,10,3,5,0.0,0.0,1843,1714052,1352456,2
211.56905,9,4,10,0.0,0.0,13,858,462,2
1203.5134,10,3,5,0.0,0.0,6,791,532,6
1259.1825,10,3,5,0.0,0.0,2091,1940809,1384265,2
1277.2626,9,4,3,0.0,0.0,134126,133043628,3345304,0
998.21576,10,3,5,0.0,0.0,1117,994319,245858,2
0.173448,9,4,18,0.0,0.0,7,1005,409,42
9.340199,9,4,79,0.0,0.0,10537,13585540,109062,2
1265.458,10,3,5,0.0,0.0,2168,2028354,1374814,2
400.4708,9,4,18,0.0,0.0,75,4584,1874,2
1277.2834,9,4,3,0.0,0.0,126502,124195904,3262126,0
1277.4567,10,3,5,0.0,0.0,2001,1876403,1351359,2
1277.2203,9,4,3,0.0,0.0,116192,114511972,2960452,0
1200.4031,10,3,5,0.0,0.0,2009,1867389,412392,2
1277.1193,9,4,3,0.0,0.0,125476,124609536,3118606,0
1277.2393,9,4,3,0.0,0.0,124151,123916646,3038820,0
1277.4581,10,3,5,0.0,0.0,127247,16722730,8650857,2
1277.221,9,4,3,0.0,0.0,90586,88864544,2347014,0
1273.0846,9,4,72,0.0,0.0,28639,27113562,759282,0
0.000387,10,3,5,0.0,0.0,2,372,87,50
1275.7954,9,4,72,0.0,0.0,7623,5723000,5544434,0
1277.2424,9,4,3,0.0,0.0,93197,92429798,2328630,0
1255.7515,10,3,5,0.0,0.0,2307,1981710,1413044,2
17.428999,9,4,18,0.0,0.0,20,8822,3951,2
21.320972,9,0,45,0.0,0.0,12,3737,1815,2
1253.4459,9,4,72,0.0,0.0,204,58177,37318,2
1277.387,9,4,69,0.0,0.0,40588,23116294,22170778,28
0.0,10,0,65,0.0,0.0015527752675991804,1,502,502,5
0.58004,9,4,18,0.0,0.0,40,29281,6083,44
0.578381,9,4,18,0.0,0.0,99,82762,9108,44
1277.3596,9,4,69,0.0,0.0,27363,21959840,21421160,28
1259.9844,9,4,72,0.0,0.0,313,31475,11869,0
1257.577,9,4,72,0.0,0.0,1315,142928,82640,0
613.87885,10,3,5,0.0,0.0,4,498,374,6
1277.321,10,0,65,0.0,0.0015527752675991804,6981,6036617,6036617,28
1277.0782,1,0,132,0.0,0.0015527752675991804,1189,664768,664768,44
1214.7058,9,4,18,0.0,0.0,11833,10428706,10066414,0
1277.4043,9,4,69,0.0,0.0,23069,21733457,21279353,2
1.951089,9,0,57,0.0,0.0,24,16349,2461,4
1270.5265,9,4,72,0.0,0.0,251,106072,45405,0
0.0,9,1,76,0.0,0.0015527752675991804,1,66,66,0
1270.5597,9,4,72,0.0,0.0,91,9429,3544,0
910.43115,9,4,72,0.0,0.0,140,12431,5116,0
1277.3727,10,3,5,0.0,0.0,2018,1849285,1492500,2
1268.7648,9,4,72,0.0,0.0,1341,111057,71493,0
1246.4315,9,4,72,0.0,0.0,42,2520,1680,0
0.000814,10,3,5,0.0,0.0,2,133,73,6
0.00074,10,3,5,0.0,0.0,2,238,176,6
1097.2297,10,3,5,0.0,0.0,6,405,225,6
1233.8835,9,4,72,0.0,0.0,92,8591,5842,0
1277.2163,9,4,3,0.0,0.0,35230,32982397,872214,0
0.001858,10,3,5,0.0,0.0,2,526,466,6
211.47514,9,4,18,0.0,0.0,155,14762,8178,2
1276.3591,9,4,72,0.0,0.0,5968,1530765,573201,2
915.6262,10,0,65,0.0,0.0015527752675991804,6,504,504,5
13.766797,10,3,5,0.0,0.0,150,90946,89308,6
508.11383,9,4,72,0.0,0.0,102,25300,7470,2
21.405827,9,4,10,0.0,0.0,6,396,198,2
